Employee_ID,Risk_Score_%,Action_Priority
15047,86.46,CRITICAL (Immediate Retention Interview)
12742,86.4,CRITICAL (Immediate Retention Interview)
12912,86.3,CRITICAL (Immediate Retention Interview)
12616,86.28,CRITICAL (Immediate Retention Interview)
15439,86.26,CRITICAL (Immediate Retention Interview)
12476,86.26,CRITICAL (Immediate Retention Interview)
12594,86.25,CRITICAL (Immediate Retention Interview)
13968,86.2,CRITICAL (Immediate Retention Interview)
14688,86.13,CRITICAL (Immediate Retention Interview)
13774,86.05,CRITICAL (Immediate Retention Interview)
15173,86.01,CRITICAL (Immediate Retention Interview)
14046,85.98,CRITICAL (Immediate Retention Interview)
12714,85.95,CRITICAL (Immediate Retention Interview)
12635,85.94,CRITICAL (Immediate Retention Interview)
14099,85.89,CRITICAL (Immediate Retention Interview)
13142,85.88,CRITICAL (Immediate Retention Interview)
15692,85.78,CRITICAL (Immediate Retention Interview)
13483,85.77,CRITICAL (Immediate Retention Interview)
14732,85.76,CRITICAL (Immediate Retention Interview)
13416,85.67,CRITICAL (Immediate Retention Interview)
15202,85.59,CRITICAL (Immediate Retention Interview)
13108,85.53,CRITICAL (Immediate Retention Interview)
15434,85.49,CRITICAL (Immediate Retention Interview)
13875,85.42,CRITICAL (Immediate Retention Interview)
14938,85.36,CRITICAL (Immediate Retention Interview)
14791,85.36,CRITICAL (Immediate Retention Interview)
12728,85.34,CRITICAL (Immediate Retention Interview)
15686,85.31,CRITICAL (Immediate Retention Interview)
14029,85.27,CRITICAL (Immediate Retention Interview)
13016,85.1,CRITICAL (Immediate Retention Interview)
15379,85.08,CRITICAL (Immediate Retention Interview)
15594,84.95,CRITICAL (Immediate Retention Interview)
13871,84.88,CRITICAL (Immediate Retention Interview)
14405,84.87,CRITICAL (Immediate Retention Interview)
12677,84.77,CRITICAL (Immediate Retention Interview)
12843,84.72,CRITICAL (Immediate Retention Interview)
14299,84.7,CRITICAL (Immediate Retention Interview)
14804,84.64,CRITICAL (Immediate Retention Interview)
15519,84.57,CRITICAL (Immediate Retention Interview)
15095,84.54,CRITICAL (Immediate Retention Interview)
14933,84.5,CRITICAL (Immediate Retention Interview)
14030,84.49,CRITICAL (Immediate Retention Interview)
14513,84.47,CRITICAL (Immediate Retention Interview)
12607,84.45,CRITICAL (Immediate Retention Interview)
14396,84.36,CRITICAL (Immediate Retention Interview)
12450,84.34,CRITICAL (Immediate Retention Interview)
15318,84.34,CRITICAL (Immediate Retention Interview)
15455,84.26,CRITICAL (Immediate Retention Interview)
14375,84.25,CRITICAL (Immediate Retention Interview)
15719,84.22,CRITICAL (Immediate Retention Interview)
13395,84.22,CRITICAL (Immediate Retention Interview)
15339,84.12,CRITICAL (Immediate Retention Interview)
12468,84.09,CRITICAL (Immediate Retention Interview)
13112,83.95,CRITICAL (Immediate Retention Interview)
12443,83.9,CRITICAL (Immediate Retention Interview)
13921,83.8,CRITICAL (Immediate Retention Interview)
12833,83.78,CRITICAL (Immediate Retention Interview)
12460,83.76,CRITICAL (Immediate Retention Interview)
12889,83.75,CRITICAL (Immediate Retention Interview)
12743,83.75,CRITICAL (Immediate Retention Interview)
14358,83.72,CRITICAL (Immediate Retention Interview)
14400,83.68,CRITICAL (Immediate Retention Interview)
14383,83.67,CRITICAL (Immediate Retention Interview)
13500,83.66,CRITICAL (Immediate Retention Interview)
13697,83.64,CRITICAL (Immediate Retention Interview)
14555,83.64,CRITICAL (Immediate Retention Interview)
13326,83.58,CRITICAL (Immediate Retention Interview)
13192,83.57,CRITICAL (Immediate Retention Interview)
14950,83.57,CRITICAL (Immediate Retention Interview)
13862,83.54,CRITICAL (Immediate Retention Interview)
13045,83.49,CRITICAL (Immediate Retention Interview)
15301,83.49,CRITICAL (Immediate Retention Interview)
14630,83.48,CRITICAL (Immediate Retention Interview)
13200,83.42,CRITICAL (Immediate Retention Interview)
15263,83.41,CRITICAL (Immediate Retention Interview)
15527,83.41,CRITICAL (Immediate Retention Interview)
12727,83.4,CRITICAL (Immediate Retention Interview)
14992,83.37,CRITICAL (Immediate Retention Interview)
13437,83.37,CRITICAL (Immediate Retention Interview)
13133,83.37,CRITICAL (Immediate Retention Interview)
14445,83.35,CRITICAL (Immediate Retention Interview)
12915,83.33,CRITICAL (Immediate Retention Interview)
12584,83.33,CRITICAL (Immediate Retention Interview)
14870,83.32,CRITICAL (Immediate Retention Interview)
12884,83.29,CRITICAL (Immediate Retention Interview)
13738,83.28,CRITICAL (Immediate Retention Interview)
14243,83.27,CRITICAL (Immediate Retention Interview)
15054,83.24,CRITICAL (Immediate Retention Interview)
13821,83.23,CRITICAL (Immediate Retention Interview)
13884,83.22,CRITICAL (Immediate Retention Interview)
13308,83.2,CRITICAL (Immediate Retention Interview)
15492,83.19,CRITICAL (Immediate Retention Interview)
14596,83.17,CRITICAL (Immediate Retention Interview)
15007,83.15,CRITICAL (Immediate Retention Interview)
14953,83.05,CRITICAL (Immediate Retention Interview)
14369,83.04,CRITICAL (Immediate Retention Interview)
14120,83.04,CRITICAL (Immediate Retention Interview)
14908,82.96,CRITICAL (Immediate Retention Interview)
14137,82.94,CRITICAL (Immediate Retention Interview)
13476,82.94,CRITICAL (Immediate Retention Interview)
13596,82.94,CRITICAL (Immediate Retention Interview)
13366,82.91,CRITICAL (Immediate Retention Interview)
14307,82.9,CRITICAL (Immediate Retention Interview)
12886,82.9,CRITICAL (Immediate Retention Interview)
15122,82.89,CRITICAL (Immediate Retention Interview)
15578,82.88,CRITICAL (Immediate Retention Interview)
13143,82.85,CRITICAL (Immediate Retention Interview)
14552,82.84,CRITICAL (Immediate Retention Interview)
13177,82.81,CRITICAL (Immediate Retention Interview)
12771,82.8,CRITICAL (Immediate Retention Interview)
14642,82.8,CRITICAL (Immediate Retention Interview)
15529,82.76,CRITICAL (Immediate Retention Interview)
12805,82.74,CRITICAL (Immediate Retention Interview)
13562,82.73,CRITICAL (Immediate Retention Interview)
14021,82.73,CRITICAL (Immediate Retention Interview)
12783,82.72,CRITICAL (Immediate Retention Interview)
14028,82.71,CRITICAL (Immediate Retention Interview)
13404,82.7,CRITICAL (Immediate Retention Interview)
14320,82.7,CRITICAL (Immediate Retention Interview)
13085,82.7,CRITICAL (Immediate Retention Interview)
12518,82.67,CRITICAL (Immediate Retention Interview)
13359,82.66,CRITICAL (Immediate Retention Interview)
13035,82.56,CRITICAL (Immediate Retention Interview)
13409,82.56,CRITICAL (Immediate Retention Interview)
15516,82.54,CRITICAL (Immediate Retention Interview)
15040,82.52,CRITICAL (Immediate Retention Interview)
14226,82.48,CRITICAL (Immediate Retention Interview)
14300,82.48,CRITICAL (Immediate Retention Interview)
13005,82.43,CRITICAL (Immediate Retention Interview)
13776,82.42,CRITICAL (Immediate Retention Interview)
13214,82.4,CRITICAL (Immediate Retention Interview)
15647,82.4,CRITICAL (Immediate Retention Interview)
14273,82.37,CRITICAL (Immediate Retention Interview)
14547,82.37,CRITICAL (Immediate Retention Interview)
12758,82.35,CRITICAL (Immediate Retention Interview)
15427,82.34,CRITICAL (Immediate Retention Interview)
14502,82.34,CRITICAL (Immediate Retention Interview)
15072,82.33,CRITICAL (Immediate Retention Interview)
15165,82.32,CRITICAL (Immediate Retention Interview)
14475,82.32,CRITICAL (Immediate Retention Interview)
14326,82.29,CRITICAL (Immediate Retention Interview)
13345,82.27,CRITICAL (Immediate Retention Interview)
12812,82.27,CRITICAL (Immediate Retention Interview)
14563,82.25,CRITICAL (Immediate Retention Interview)
13105,82.25,CRITICAL (Immediate Retention Interview)
12757,82.24,CRITICAL (Immediate Retention Interview)
14759,82.22,CRITICAL (Immediate Retention Interview)
13621,82.2,CRITICAL (Immediate Retention Interview)
13784,82.2,CRITICAL (Immediate Retention Interview)
15378,82.2,CRITICAL (Immediate Retention Interview)
15278,82.18,CRITICAL (Immediate Retention Interview)
15482,82.17,CRITICAL (Immediate Retention Interview)
15312,82.15,CRITICAL (Immediate Retention Interview)
14585,82.12,CRITICAL (Immediate Retention Interview)
14980,82.1,CRITICAL (Immediate Retention Interview)
12882,82.09,CRITICAL (Immediate Retention Interview)
12795,82.09,CRITICAL (Immediate Retention Interview)
12818,82.06,CRITICAL (Immediate Retention Interview)
15386,82.06,CRITICAL (Immediate Retention Interview)
13856,82.03,CRITICAL (Immediate Retention Interview)
13312,82.01,CRITICAL (Immediate Retention Interview)
14424,82.01,CRITICAL (Immediate Retention Interview)
14559,82.01,CRITICAL (Immediate Retention Interview)
12909,81.97,CRITICAL (Immediate Retention Interview)
13178,81.97,CRITICAL (Immediate Retention Interview)
13288,81.97,CRITICAL (Immediate Retention Interview)
14418,81.93,CRITICAL (Immediate Retention Interview)
13124,81.93,CRITICAL (Immediate Retention Interview)
13244,81.87,CRITICAL (Immediate Retention Interview)
13647,81.82,CRITICAL (Immediate Retention Interview)
14990,81.8,CRITICAL (Immediate Retention Interview)
13445,81.8,CRITICAL (Immediate Retention Interview)
14927,81.79,CRITICAL (Immediate Retention Interview)
13825,81.78,CRITICAL (Immediate Retention Interview)
13583,81.78,CRITICAL (Immediate Retention Interview)
12746,81.77,CRITICAL (Immediate Retention Interview)
12610,81.76,CRITICAL (Immediate Retention Interview)
12625,81.76,CRITICAL (Immediate Retention Interview)
12733,81.73,CRITICAL (Immediate Retention Interview)
13526,81.73,CRITICAL (Immediate Retention Interview)
13842,81.73,CRITICAL (Immediate Retention Interview)
14059,81.72,CRITICAL (Immediate Retention Interview)
13019,81.72,CRITICAL (Immediate Retention Interview)
15394,81.71,CRITICAL (Immediate Retention Interview)
13355,81.7,CRITICAL (Immediate Retention Interview)
15665,81.7,CRITICAL (Immediate Retention Interview)
12960,81.68,CRITICAL (Immediate Retention Interview)
13941,81.68,CRITICAL (Immediate Retention Interview)
14631,81.67,CRITICAL (Immediate Retention Interview)
14164,81.67,CRITICAL (Immediate Retention Interview)
15597,81.67,CRITICAL (Immediate Retention Interview)
13461,81.66,CRITICAL (Immediate Retention Interview)
13028,81.65,CRITICAL (Immediate Retention Interview)
12799,81.64,CRITICAL (Immediate Retention Interview)
14811,81.64,CRITICAL (Immediate Retention Interview)
12922,81.63,CRITICAL (Immediate Retention Interview)
15700,81.61,CRITICAL (Immediate Retention Interview)
14064,81.6,CRITICAL (Immediate Retention Interview)
15042,81.6,CRITICAL (Immediate Retention Interview)
13335,81.59,CRITICAL (Immediate Retention Interview)
13038,81.58,CRITICAL (Immediate Retention Interview)
15494,81.57,CRITICAL (Immediate Retention Interview)
13661,81.57,CRITICAL (Immediate Retention Interview)
15169,81.53,CRITICAL (Immediate Retention Interview)
14888,81.52,CRITICAL (Immediate Retention Interview)
13481,81.5,CRITICAL (Immediate Retention Interview)
14309,81.5,CRITICAL (Immediate Retention Interview)
12857,81.48,CRITICAL (Immediate Retention Interview)
14684,81.47,CRITICAL (Immediate Retention Interview)
13201,81.46,CRITICAL (Immediate Retention Interview)
14449,81.45,CRITICAL (Immediate Retention Interview)
15677,81.45,CRITICAL (Immediate Retention Interview)
15055,81.45,CRITICAL (Immediate Retention Interview)
14245,81.41,CRITICAL (Immediate Retention Interview)
15088,81.39,CRITICAL (Immediate Retention Interview)
13362,81.38,CRITICAL (Immediate Retention Interview)
14235,81.38,CRITICAL (Immediate Retention Interview)
13420,81.38,CRITICAL (Immediate Retention Interview)
15077,81.38,CRITICAL (Immediate Retention Interview)
15435,81.37,CRITICAL (Immediate Retention Interview)
13290,81.36,CRITICAL (Immediate Retention Interview)
14940,81.36,CRITICAL (Immediate Retention Interview)
14155,81.35,CRITICAL (Immediate Retention Interview)
12966,81.34,CRITICAL (Immediate Retention Interview)
12509,81.33,CRITICAL (Immediate Retention Interview)
13905,81.31,CRITICAL (Immediate Retention Interview)
14355,81.29,CRITICAL (Immediate Retention Interview)
15324,81.28,CRITICAL (Immediate Retention Interview)
13057,81.27,CRITICAL (Immediate Retention Interview)
14420,81.26,CRITICAL (Immediate Retention Interview)
14672,81.25,CRITICAL (Immediate Retention Interview)
13453,81.23,CRITICAL (Immediate Retention Interview)
13231,81.21,CRITICAL (Immediate Retention Interview)
14083,81.2,CRITICAL (Immediate Retention Interview)
14438,81.2,CRITICAL (Immediate Retention Interview)
12688,81.18,CRITICAL (Immediate Retention Interview)
13138,81.17,CRITICAL (Immediate Retention Interview)
14436,81.16,CRITICAL (Immediate Retention Interview)
15535,81.15,CRITICAL (Immediate Retention Interview)
13205,81.15,CRITICAL (Immediate Retention Interview)
13619,81.14,CRITICAL (Immediate Retention Interview)
14712,81.14,CRITICAL (Immediate Retention Interview)
12800,81.13,CRITICAL (Immediate Retention Interview)
14506,81.13,CRITICAL (Immediate Retention Interview)
13448,81.1,CRITICAL (Immediate Retention Interview)
14224,81.1,CRITICAL (Immediate Retention Interview)
13787,81.1,CRITICAL (Immediate Retention Interview)
12502,81.05,CRITICAL (Immediate Retention Interview)
15610,81.05,CRITICAL (Immediate Retention Interview)
14958,81.05,CRITICAL (Immediate Retention Interview)
13935,81.02,CRITICAL (Immediate Retention Interview)
15584,80.99,CRITICAL (Immediate Retention Interview)
15533,80.99,CRITICAL (Immediate Retention Interview)
14476,80.96,CRITICAL (Immediate Retention Interview)
15286,80.96,CRITICAL (Immediate Retention Interview)
12914,80.95,CRITICAL (Immediate Retention Interview)
14412,80.94,CRITICAL (Immediate Retention Interview)
13216,80.94,CRITICAL (Immediate Retention Interview)
14103,80.92,CRITICAL (Immediate Retention Interview)
12643,80.91,CRITICAL (Immediate Retention Interview)
13380,80.88,CRITICAL (Immediate Retention Interview)
14466,80.88,CRITICAL (Immediate Retention Interview)
14695,80.88,CRITICAL (Immediate Retention Interview)
14262,80.87,CRITICAL (Immediate Retention Interview)
12747,80.86,CRITICAL (Immediate Retention Interview)
15333,80.84,CRITICAL (Immediate Retention Interview)
14489,80.81,CRITICAL (Immediate Retention Interview)
14574,80.81,CRITICAL (Immediate Retention Interview)
15718,80.8,CRITICAL (Immediate Retention Interview)
15233,80.8,CRITICAL (Immediate Retention Interview)
14170,80.79,CRITICAL (Immediate Retention Interview)
14634,80.79,CRITICAL (Immediate Retention Interview)
13053,80.77,CRITICAL (Immediate Retention Interview)
15503,80.76,CRITICAL (Immediate Retention Interview)
12691,80.76,CRITICAL (Immediate Retention Interview)
13817,80.74,CRITICAL (Immediate Retention Interview)
14757,80.73,CRITICAL (Immediate Retention Interview)
14050,80.73,CRITICAL (Immediate Retention Interview)
15053,80.72,CRITICAL (Immediate Retention Interview)
14089,80.67,CRITICAL (Immediate Retention Interview)
12470,80.65,CRITICAL (Immediate Retention Interview)
14682,80.64,CRITICAL (Immediate Retention Interview)
13072,80.63,CRITICAL (Immediate Retention Interview)
13230,80.56,CRITICAL (Immediate Retention Interview)
14076,80.55,CRITICAL (Immediate Retention Interview)
15654,80.51,CRITICAL (Immediate Retention Interview)
14931,80.5,CRITICAL (Immediate Retention Interview)
12933,80.49,CRITICAL (Immediate Retention Interview)
12503,80.48,CRITICAL (Immediate Retention Interview)
12563,80.45,CRITICAL (Immediate Retention Interview)
14218,80.45,CRITICAL (Immediate Retention Interview)
15446,80.45,CRITICAL (Immediate Retention Interview)
13360,80.45,CRITICAL (Immediate Retention Interview)
14568,80.45,CRITICAL (Immediate Retention Interview)
13056,80.45,CRITICAL (Immediate Retention Interview)
13915,80.43,CRITICAL (Immediate Retention Interview)
12634,80.42,CRITICAL (Immediate Retention Interview)
15601,80.41,CRITICAL (Immediate Retention Interview)
12621,80.41,CRITICAL (Immediate Retention Interview)
15653,80.41,CRITICAL (Immediate Retention Interview)
13529,80.4,CRITICAL (Immediate Retention Interview)
15067,80.39,CRITICAL (Immediate Retention Interview)
14456,80.38,CRITICAL (Immediate Retention Interview)
13675,80.37,CRITICAL (Immediate Retention Interview)
12599,80.36,CRITICAL (Immediate Retention Interview)
15272,80.34,CRITICAL (Immediate Retention Interview)
13006,80.33,CRITICAL (Immediate Retention Interview)
12519,80.32,CRITICAL (Immediate Retention Interview)
13202,80.31,CRITICAL (Immediate Retention Interview)
12754,80.29,CRITICAL (Immediate Retention Interview)
13497,80.27,CRITICAL (Immediate Retention Interview)
14747,80.26,CRITICAL (Immediate Retention Interview)
12588,80.26,CRITICAL (Immediate Retention Interview)
13058,80.24,CRITICAL (Immediate Retention Interview)
12725,80.24,CRITICAL (Immediate Retention Interview)
13538,80.21,CRITICAL (Immediate Retention Interview)
14623,80.19,CRITICAL (Immediate Retention Interview)
14429,80.18,CRITICAL (Immediate Retention Interview)
13066,80.18,CRITICAL (Immediate Retention Interview)
14564,80.18,CRITICAL (Immediate Retention Interview)
15207,80.17,CRITICAL (Immediate Retention Interview)
14817,80.16,CRITICAL (Immediate Retention Interview)
14626,80.16,CRITICAL (Immediate Retention Interview)
12475,80.15,CRITICAL (Immediate Retention Interview)
13612,80.11,CRITICAL (Immediate Retention Interview)
14419,80.1,CRITICAL (Immediate Retention Interview)
15231,80.1,CRITICAL (Immediate Retention Interview)
15496,80.09,CRITICAL (Immediate Retention Interview)
15115,80.06,CRITICAL (Immediate Retention Interview)
15587,80.05,CRITICAL (Immediate Retention Interview)
15357,80.01,CRITICAL (Immediate Retention Interview)
15463,80.0,CRITICAL (Immediate Retention Interview)
12645,80.0,CRITICAL (Immediate Retention Interview)
13011,79.98,HIGH (Engagement Program)
14565,79.98,HIGH (Engagement Program)
13870,79.97,HIGH (Engagement Program)
14618,79.91,HIGH (Engagement Program)
12672,79.89,HIGH (Engagement Program)
13399,79.86,HIGH (Engagement Program)
15449,79.86,HIGH (Engagement Program)
12499,79.85,HIGH (Engagement Program)
13387,79.82,HIGH (Engagement Program)
14687,79.81,HIGH (Engagement Program)
15363,79.81,HIGH (Engagement Program)
14904,79.78,HIGH (Engagement Program)
13082,79.76,HIGH (Engagement Program)
15309,79.75,HIGH (Engagement Program)
15005,79.74,HIGH (Engagement Program)
12440,79.7,HIGH (Engagement Program)
13739,79.67,HIGH (Engagement Program)
13188,79.66,HIGH (Engagement Program)
12581,79.65,HIGH (Engagement Program)
12798,79.65,HIGH (Engagement Program)
12998,79.65,HIGH (Engagement Program)
14488,79.63,HIGH (Engagement Program)
15420,79.62,HIGH (Engagement Program)
12656,79.59,HIGH (Engagement Program)
15620,79.57,HIGH (Engagement Program)
14598,79.55,HIGH (Engagement Program)
13673,79.55,HIGH (Engagement Program)
12560,79.54,HIGH (Engagement Program)
15341,79.5,HIGH (Engagement Program)
13755,79.5,HIGH (Engagement Program)
14423,79.49,HIGH (Engagement Program)
15300,79.46,HIGH (Engagement Program)
12653,79.44,HIGH (Engagement Program)
14351,79.41,HIGH (Engagement Program)
14497,79.37,HIGH (Engagement Program)
13427,79.36,HIGH (Engagement Program)
15586,79.35,HIGH (Engagement Program)
14399,79.31,HIGH (Engagement Program)
13048,79.3,HIGH (Engagement Program)
14766,79.27,HIGH (Engagement Program)
15608,79.22,HIGH (Engagement Program)
15549,79.2,HIGH (Engagement Program)
14141,79.19,HIGH (Engagement Program)
14760,79.18,HIGH (Engagement Program)
15616,79.18,HIGH (Engagement Program)
14215,79.17,HIGH (Engagement Program)
13979,79.15,HIGH (Engagement Program)
13756,79.14,HIGH (Engagement Program)
14664,79.12,HIGH (Engagement Program)
12983,79.12,HIGH (Engagement Program)
14993,79.12,HIGH (Engagement Program)
14461,79.11,HIGH (Engagement Program)
13691,79.1,HIGH (Engagement Program)
14527,79.08,HIGH (Engagement Program)
14324,79.07,HIGH (Engagement Program)
14271,79.04,HIGH (Engagement Program)
14359,79.03,HIGH (Engagement Program)
13664,79.03,HIGH (Engagement Program)
14391,79.01,HIGH (Engagement Program)
15291,78.99,HIGH (Engagement Program)
15624,78.98,HIGH (Engagement Program)
13344,78.97,HIGH (Engagement Program)
15078,78.96,HIGH (Engagement Program)
14340,78.95,HIGH (Engagement Program)
13836,78.93,HIGH (Engagement Program)
14048,78.91,HIGH (Engagement Program)
13501,78.89,HIGH (Engagement Program)
14143,78.88,HIGH (Engagement Program)
14357,78.87,HIGH (Engagement Program)
13839,78.86,HIGH (Engagement Program)
13807,78.85,HIGH (Engagement Program)
13523,78.82,HIGH (Engagement Program)
15402,78.82,HIGH (Engagement Program)
14943,78.79,HIGH (Engagement Program)
14668,78.78,HIGH (Engagement Program)
14734,78.77,HIGH (Engagement Program)
13660,78.74,HIGH (Engagement Program)
12930,78.72,HIGH (Engagement Program)
14822,78.68,HIGH (Engagement Program)
13123,78.62,HIGH (Engagement Program)
13332,78.62,HIGH (Engagement Program)
15332,78.6,HIGH (Engagement Program)
14373,78.59,HIGH (Engagement Program)
12504,78.55,HIGH (Engagement Program)
15321,78.54,HIGH (Engagement Program)
14065,78.54,HIGH (Engagement Program)
15454,78.54,HIGH (Engagement Program)
14685,78.52,HIGH (Engagement Program)
15110,78.51,HIGH (Engagement Program)
14257,78.49,HIGH (Engagement Program)
12618,78.47,HIGH (Engagement Program)
12832,78.45,HIGH (Engagement Program)
14754,78.45,HIGH (Engagement Program)
15419,78.44,HIGH (Engagement Program)
14576,78.44,HIGH (Engagement Program)
14802,78.42,HIGH (Engagement Program)
15375,78.42,HIGH (Engagement Program)
15348,78.4,HIGH (Engagement Program)
12702,78.39,HIGH (Engagement Program)
14108,78.35,HIGH (Engagement Program)
12941,78.27,HIGH (Engagement Program)
15307,78.26,HIGH (Engagement Program)
14269,78.23,HIGH (Engagement Program)
12995,78.23,HIGH (Engagement Program)
14842,78.22,HIGH (Engagement Program)
14833,78.16,HIGH (Engagement Program)
12552,78.16,HIGH (Engagement Program)
15383,78.16,HIGH (Engagement Program)
13778,78.15,HIGH (Engagement Program)
14944,78.13,HIGH (Engagement Program)
14686,78.12,HIGH (Engagement Program)
12601,78.1,HIGH (Engagement Program)
12556,78.09,HIGH (Engagement Program)
13419,78.09,HIGH (Engagement Program)
15436,78.05,HIGH (Engagement Program)
14480,77.96,HIGH (Engagement Program)
12872,77.93,HIGH (Engagement Program)
13491,77.92,HIGH (Engagement Program)
13934,77.86,HIGH (Engagement Program)
13593,77.85,HIGH (Engagement Program)
13728,77.84,HIGH (Engagement Program)
14397,77.83,HIGH (Engagement Program)
12990,77.82,HIGH (Engagement Program)
14157,77.81,HIGH (Engagement Program)
12444,77.79,HIGH (Engagement Program)
12708,77.78,HIGH (Engagement Program)
15343,77.76,HIGH (Engagement Program)
15099,77.75,HIGH (Engagement Program)
15712,77.74,HIGH (Engagement Program)
15646,77.72,HIGH (Engagement Program)
14431,77.61,HIGH (Engagement Program)
12535,77.56,HIGH (Engagement Program)
12935,77.55,HIGH (Engagement Program)
15581,77.53,HIGH (Engagement Program)
14251,77.53,HIGH (Engagement Program)
14283,77.51,HIGH (Engagement Program)
14538,77.49,HIGH (Engagement Program)
14330,77.47,HIGH (Engagement Program)
15392,77.45,HIGH (Engagement Program)
15038,77.44,HIGH (Engagement Program)
14717,77.38,HIGH (Engagement Program)
14605,77.37,HIGH (Engagement Program)
13742,77.26,HIGH (Engagement Program)
13252,77.25,HIGH (Engagement Program)
14518,77.21,HIGH (Engagement Program)
12751,77.16,HIGH (Engagement Program)
15487,77.16,HIGH (Engagement Program)
14230,77.14,HIGH (Engagement Program)
13222,77.12,HIGH (Engagement Program)
12902,77.1,HIGH (Engagement Program)
15520,77.09,HIGH (Engagement Program)
14128,77.05,HIGH (Engagement Program)
14569,77.0,HIGH (Engagement Program)
15550,77.0,HIGH (Engagement Program)
14876,77.0,HIGH (Engagement Program)
12764,76.96,HIGH (Engagement Program)
15730,76.94,HIGH (Engagement Program)
13572,76.94,HIGH (Engagement Program)
14101,76.94,HIGH (Engagement Program)
12967,76.93,HIGH (Engagement Program)
14338,76.91,HIGH (Engagement Program)
15606,76.84,HIGH (Engagement Program)
13080,76.83,HIGH (Engagement Program)
15643,76.75,HIGH (Engagement Program)
14008,76.7,HIGH (Engagement Program)
13330,76.69,HIGH (Engagement Program)
15104,76.68,HIGH (Engagement Program)
15128,76.6,HIGH (Engagement Program)
13040,76.56,HIGH (Engagement Program)
12559,76.53,HIGH (Engagement Program)
15617,76.52,HIGH (Engagement Program)
14492,76.51,HIGH (Engagement Program)
14302,76.49,HIGH (Engagement Program)
14281,76.45,HIGH (Engagement Program)
13160,76.44,HIGH (Engagement Program)
12670,76.38,HIGH (Engagement Program)
14182,76.35,HIGH (Engagement Program)
12918,76.32,HIGH (Engagement Program)
13521,76.31,HIGH (Engagement Program)
15019,76.29,HIGH (Engagement Program)
14291,76.28,HIGH (Engagement Program)
12455,76.26,HIGH (Engagement Program)
15717,76.25,HIGH (Engagement Program)
12564,76.21,HIGH (Engagement Program)
12988,76.2,HIGH (Engagement Program)
14603,76.17,HIGH (Engagement Program)
14648,76.15,HIGH (Engagement Program)
13152,76.08,HIGH (Engagement Program)
14255,76.01,HIGH (Engagement Program)
14813,76.01,HIGH (Engagement Program)
12602,76.01,HIGH (Engagement Program)
15525,76.01,HIGH (Engagement Program)
13307,75.96,HIGH (Engagement Program)
15176,75.95,HIGH (Engagement Program)
15029,75.93,HIGH (Engagement Program)
14523,75.92,HIGH (Engagement Program)
14209,75.87,HIGH (Engagement Program)
14731,75.87,HIGH (Engagement Program)
15353,75.86,HIGH (Engagement Program)
15499,75.81,HIGH (Engagement Program)
14414,75.8,HIGH (Engagement Program)
14803,75.79,HIGH (Engagement Program)
14105,75.78,HIGH (Engagement Program)
12953,75.72,HIGH (Engagement Program)
13389,75.67,HIGH (Engagement Program)
13431,75.66,HIGH (Engagement Program)
14352,75.65,HIGH (Engagement Program)
13289,75.64,HIGH (Engagement Program)
14111,75.59,HIGH (Engagement Program)
15507,75.59,HIGH (Engagement Program)
